NUMBER,NAME,LATITUDE,LONGITUDE,PROVINCE,ELEVATION,PICTURE
1,Babuyan Claro,19.52408,121.95005,"Babuyan Island Group, Cagayan in Luzon",843,https://upload.wikimedia.org/wikipedia/commons/0/06/Smith_Volcano_1.jpg
2,Banahaw,14.06038,121.48803,Boundaries of Laguna and Quezon in Luzon,2158,https://upload.wikimedia.org/wikipedia/commons/2/2d/Victoria_Lagunajf3335_06.JPG
3,Biliran (Anas),11.63268,124.47162,Leyte in Visayas,1340,https://alchetron.com/Biliran-(volcano)#biliran-volcano-228c4714-ee9d-497b-aa3f-c5f217aabb2-resize-750.jpg
4,Bud Dajo,6.01295,121.05772,Sulu in Mindanao,620,https://ibb.co/CJBNTpS
5,Bulusan,12.76853,124.05445,"Sorsogon, Bicol Region in Luzon",1565,https://upload.wikimedia.org/wikipedia/commons/2/2a/A_dormant_Mt._Bulusan.jpg
6,Cabalian,10.27986,125.21598,Southern Leyte in Visayas,945,https://upload.wikimedia.org/wikipedia/commons/3/3a/Montes_Cabaliani.jpg
7,Cagua,18.22116,122.1163,Cagayan in Luzon,1133,https://ibb.co/ZGjW2w6
8,Camiguin de Babuyanes,18.83037,121.8628,"Babuyan Island Group, Cagayan in Luzon",712,https://ibb.co/0QFQGRQ
9,Didicas,19.07533,122.20147,"Babuyan Island Group, Cagayan in Luzon",228,https://ibb.co/x2x0JNX
10,Hibok-hibok,9.20427,124.67115,Camiguin in Mindanao,1382,https://ibb.co/Nj5Gbkt
11,Iraya,20.46669,122.01078,"Batan Island, Batanes in Luzon",1009,https://upload.wikimedia.org/wikipedia/commons/e/ec/Mount-Iraya.JPG
12,Iriga,13.45606,123.45479,Camarines Sur in Luzon,1196,https://ibb.co/RbrCJb0
13,Isarog,13.65685,123.38087,Camarines Sur in Luzon,2000,https://ibb.co/HYK1TrN
14,Kanlaon,10.41129,123.13243,Negros Oriental,2435,https://ibb.co/CHWT88B
15,Leonard Kniaseff,7.39359,126.06418,Davao del Norte,1190,https://ibb.co/XL2Dcpw
16,Makaturing,7.64371,124.31718,Lanao del Sur,1940,https://ibb.co/jgyF8gq
17,Matutum,6.36111,125.07603,Cotobato in Mindanao,2286,https://upload.wikimedia.org/wikipedia/commons/d/d5/Mount_Matutum.jpg
18,Mayon,13.25519,123.68615,"Albay, Bicol Region in Luzon",2463,https://upload.wikimedia.org/wikipedia/commons/8/81/Mt.Mayon_tam3rd.jpg
19,Musuan (Calayo),7.8768,125.06985,Bukidnon in Mindanao,646,https://imgur.com/GYRPj5G
20,Parker,6.10274,124.88879,South Cotabato/General Santos/ North Cotabato/Sarangani Provinces in Mindanao,1824,https://upload.wikimedia.org/wikipedia/commons/a/ad/Lake_Holon.jpg
21,Pinatubo,15.14162,120.35084,"Boundaries of Pampanga, Tarlac and Zambales in Luzon",1486,https://imgur.com/GYRPj5G
22,Ragang,7.69066,124.50639,Lanao del Sur and Cotobato in Mindanao,2815,https://imgur.com/GYRPj5G
23,Smith,19.53915,121.91367,"Babuyan Island Group, Cagayan in Luzon",688,https://imgur.com/GYRPj5G
24,Taal,14.01024,120.99812,Batangas in Luzon,311,https://imgur.com/GYRPj5G
